nonorganic,organic,notes,preparation
Urea,"Jivamrutha, Vermicompost Extract, Compost Tea",High Nitrogen source,"Mix 5kg cow dung + 1L cow urine + 1kg jaggery + 500g pulse flour + 2kg soil; ferment 2–3 days; dilute 1:200.;Set up vermiculture bed with cow dung and kitchen waste; harvest extract as vermicompost tea.;Brew compost tea 24-48 hrs; dilute for application."
DAP,"Bone Meal, Rock Phosphate, Compost+Bone Meal",Phosphorus booster,"Mix bone meal with compost (3:10 ratio); apply during sowing.;Use rock phosphate incorporated into soil at planting.;Combine bone meal with well-rotted compost for slow P release."
"MOP (Potash)","Banana Peel Fertilizer, Wood Ash, Compost Tea",Potassium source,"Dry banana peels → grind into powder → mix with compost → apply near root zone.;Collect wood ash and mix with compost; apply as top dressing.;Prepare compost tea and add potassium-rich additives like wood ash."
"SSP (Single Super Phosphate)","Wood Ash + Compost, Bone Meal",Phosphorus & Calcium,"Mix 2kg wood ash with 10kg compost; apply during flowering.;Add bone meal to improve phosphorus availability."
"NPK 20-20-20","Compost Tea, Vermicompost, Wood Ash",Balanced nutrition,"Brew compost tea 48 hrs; dilute for foliar feed.;Steep vermicompost for extract; use as top dressing.;Mix wood ash with compost for K boost."
"Ammonium Sulphate","Fermented Cow Dung Solution (FCC), Compost Tea",Nitrogen + Sulphur,"Ferment cow dung + jaggery + gram flour for 3 days; dilute 1:50.;Use compost tea to supply N and S organically."
"Calcium Nitrate","Crushed Eggshell Powder, Dolomite Powder",Calcium source,"Collect eggshells, clean, dry, crush to fine powder; mix with compost.;Apply dolomite where magnesium and calcium needed."
"Magnesium Sulphate","Epsom Salt Organic Alternative (Mg flower tonic), Compost Tea",Magnesium supply,"Mix 1tbsp epsom salt (organic grade) in 1L water; spray weekly.;Use compost tea enriched with Mg-rich plant material."
"Zinc Sulphate","Neem Cake Powder, Zinc-rich Compost",Micronutrient booster,"Mix neem cake 2kg per 20kg soil; improves micronutrient uptake.;Add zinc-rich ash or zinc-bearing amendments to compost."
"Potassium Nitrate (KNO3)","Banana Stem Tea, Wood Ash Tea",Fruit growth enhancer,"Boil banana stem pieces 20 min → cool → filter → use as liquid fertilizer.;Prepare wood ash tea and dilute before application."
"Urea Ammonium Nitrate (UAN)","Cow Urine Extract, Compost Tea",N high availability,"Ferment cow urine with jaggery for 2 days; dilute 1:50 for foliar spray.;Use compost tea as organic N source."
"14-35-14 (NPK)","Bone Meal, Banana Peel Mix, Compost",P & K boost,"Mix dried banana peel powder with bone meal (1:1); apply during flowering.;Incorporate compost to balance nutrients."
"10-26-26 (NPK)","Wood Ash + Compost Mix, Bone Meal",P & K boost,"Mix 2kg wood ash with 8kg compost; apply near root zone.;Add bone meal for P."
"17-17-17 (NPK)","Vermicompost Extract, Compost Tea",Balanced nutrient supply,"Steep vermicompost in water 24 hrs; filter; use as foliar spray.;Brew compost tea and use as foliar feed."
"Magnesium Nitrate","Plant-Based Magnesium Tea (spinach tea), Compost Tea",Mg-rich solution,"Boil spinach leaves 10 min → cool → strain → dilute 1:2.;Use compost tea enriched with Mg plant material."
"Calcium Sulphate (Gypsum)","Powdered Eggshell + Compost, Bone Meal",Calcium & Sulphur,"Crush eggshells + mix with compost in planting beds.;Add bone meal for calcium where needed."
